offspring_sample_id	bohn_mom	bohn_dad	bohn_comments	difference_explain_dayan	final_mother	final_father	colony_mother	colony_father	cervus_mother	cervus_father	colony_trio_mm	colony_father_mm	colony_mother_mm	cervus_mother_mm	cervus_father_mm	cervus_trio_mm	colony_trio	cervus_trio
OtsAC18NSNT_0012	OtsAC14NSNT_1863	OtsAC14NSNT_1520	NA		OtsAC14NSNT_1863	OtsAC14NSNT_1520	OtsAC14NSNT_1863	OtsAC14NSNT_1520	OtsAC14NSNT_1863	OtsAC14NSNT_1520	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0013	OtsAC15NSNT_1670	none	NA		OtsAC15NSNT_1670	none	none	none	OtsAC15NSNT_1670	none	NA	NA	NA	0	NA	NA	0	0
OtsAC18NSNT_0014	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0015	NS_OP_14_0583	NS_OP_14_0478	NA		NS_OP_14_0583	NS_OP_14_0478	NS_OP_14_0583	NS_OP_14_0478	NS_OP_14_0583	NS_OP_14_0478	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0017	NS-OP_13_0427	NS-OP_13_0648	NA		NS-OP_13_0427	NS-OP_13_0648	NS-OP_13_0427	NS-OP_13_0648	NS-OP_13_0427	NS-OP_13_0648	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0018	none	OtsAC14NSNT_1788	possible sizing error	Sandra assigned 2mm father	none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0019	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0020	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0021	OtsAC14NSNT_1235	OtsAC14NSNT_1016	NA		OtsAC14NSNT_1235	OtsAC14NSNT_1016	OtsAC14NSNT_1235	OtsAC14NSNT_1016	OtsAC14NSNT_1235	OtsAC14NSNT_1016	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0022	NS_Out_13_1212	NS_Out_13_1257	NA		NS_Out_13_1212	NS_Out_13_1257	NS_Out_13_1212	NS_Out_13_1257	NS_Out_13_1212	NS_Out_13_1257	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0023	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0024	none	none	two perfect matches	Sandra tossed ties	OtsAC14NSNT_1773	none	OtsAC14NSNT_1773	none	OtsAC14NSNT_1773	none	NA	NA	0	0	NA	NA	0	0
OtsAC18NSNT_0025	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0026	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0027	NS-OP_13_1070	NS-OP_13_1024	NA		NS-OP_13_1070	NS-OP_13_1024	NS-OP_13_1070	NS-OP_13_1024	NS-OP_13_1070	NS-OP_13_1024	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0028	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0029	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0030	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0032	NS-OP_13_0205	NS-OP_13_0399	NA		NS-OP_13_0205	NS-OP_13_0399	NS-OP_13_0205	NS-OP_13_0399	NS-OP_13_0205	NS-OP_13_0399	1	NA	NA	0	1	1	1	1
OtsAC18NSNT_0033	NS-OP_13_0945	NS-OP_13_0976	NA		NS-OP_13_0945	NS-OP_13_0976	NS-OP_13_0945	NS-OP_13_0976	NS-OP_13_0945	NS-OP_13_0976	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0034	OtsAC14NSNT_1076	OtsAC14NSNT_1259	NA		OtsAC14NSNT_1076	OtsAC14NSNT_1259	OtsAC14NSNT_1076	OtsAC14NSNT_1259	OtsAC14NSNT_1076	OtsAC14NSNT_1259	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0035	none	NS_OP_14_0554	NA		none	NS_OP_14_0554	none	NS_OP_14_0554	none	NS_OP_14_0554	NA	0	NA	NA	0	NA	0	0
OtsAC18NSNT_0036	NS_Out_13_1232	NS_Out_13_1356	NA		NS_Out_13_1232	NS_Out_13_1356	NS_Out_13_1232	NS_Out_13_1356	NS_Out_13_1232	NS_Out_13_1356	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0037	OtsAC14NSNT_1235	OtsAC14NSNT_1369	NA		OtsAC14NSNT_1235	OtsAC14NSNT_1369	OtsAC14NSNT_1235	OtsAC14NSNT_1369	OtsAC14NSNT_1235	OtsAC14NSNT_1369	1	NA	NA	1	0	1	1	1
OtsAC18NSNT_0038	none	none	"three assigned with 2 mismatches, two had possible sizing errors"		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0039	OtsAC14NSNT_1109	none	possible sizing error		OtsAC14NSNT_1109	none	OtsAC14NSNT_1109	none	OtsAC14NSNT_1109	none	NA	NA	1	1	NA	NA	0	0
OtsAC18NSNT_0040	none	NS-OP_13_0187	NA		none	NS-OP_13_0187	none	NS-OP_13_0187	none	NS-OP_13_0187	NA	0	NA	NA	0	NA	0	0
OtsAC18NSNT_0042	none	NS_OP_14_0114	NA		none	NS_OP_14_0114	none	NS_OP_14_0114	none	NS_OP_14_0114	NA	0	NA	NA	0	NA	0	0
OtsAC18NSNT_0043	none	NS_OP_14_0406	NA		none	NS_OP_14_0406	none	NS_OP_14_0406	none	NS_OP_14_0406	NA	0	NA	NA	0	NA	0	0
OtsAC18NSNT_0044	NS-OP_13_0808	NS-OP_13_0610	NA		NS-OP_13_0808	NS-OP_13_0610	NS-OP_13_0808	NS-OP_13_0610	NS-OP_13_0808	NS-OP_13_0610	1	NA	NA	0	1	1	1	1
OtsAC18NSNT_0045	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0046	NS-OP_13_0268	NS-OP_13_0432	NA		NS-OP_13_0268	NS-OP_13_0432	NS-OP_13_0268	NS-OP_13_0432	NS-OP_13_0268	NS-OP_13_0432	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0047	NS-OP_13_0420	NS-OP_13_0583	NA		NS-OP_13_0420	NS-OP_13_0583	NS-OP_13_0420	NS-OP_13_0583	NS-OP_13_0420	NS-OP_13_0583	1	NA	NA	1	0	1	1	1
OtsAC18NSNT_0048	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0049	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0050	OtsAC15NSNT_2014	OtsAC15NSNT_1062	NA		OtsAC15NSNT_2014	OtsAC15NSNT_1062	OtsAC15NSNT_2014	OtsAC15NSNT_1062	OtsAC15NSNT_2014	OtsAC15NSNT_1062	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0051	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0052	NS-OP_13_0270	none	possible genotyping error	Sandra assigned 2mm mother	none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0053	none	none	"two assigned with 2 mismatches, no apparent errors"		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0054	NS-OP_13_0209	NS-OP_13_0460	NA		NS-OP_13_0209	NS-OP_13_0460	NS-OP_13_0209	NS-OP_13_0460	NS-OP_13_0209	NS-OP_13_0460	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0055	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0056	NS_15_OP_BD_002	NS_15_OP_BD_318	NA		NS_15_OP_BD_002	NS_15_OP_BD_318	none	NS_15_OP_BD_318	NS_15_OP_BD_002	NS_15_OP_BD_318	NA	0	NA	1	0	1	0	1
OtsAC18NSNT_0057	OtsAC14NSNT_1543	OtsAC14NSNT_1239	NA		OtsAC14NSNT_1543	OtsAC14NSNT_1239	OtsAC14NSNT_1543	OtsAC14NSNT_1239	OtsAC14NSNT_1543	OtsAC14NSNT_1239	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0058	none	NS_15_OP_BD_135	NA		none	NS_15_OP_BD_135	none	NS_15_OP_BD_135	none	NS_15_OP_BD_135	NA	0	NA	NA	0	NA	0	0
OtsAC18NSNT_0059	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0060	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0061	NS_Out_13_1200	NS_Out_13_1442	NA		NS_Out_13_1200	NS_Out_13_1442	NS_Out_13_1200	NS_Out_13_1442	NS_Out_13_1200	NS_Out_13_1442	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0062	NS_15_OP_AD_506	none	NA		NS_15_OP_AD_506	none	NS_15_OP_AD_506	none	NS_15_OP_AD_506	none	NA	NA	0	0	NA	NA	0	0
OtsAC18NSNT_0063	none	NS_15_OP_BD_143	NA		none	NS_15_OP_BD_143	none	NS_15_OP_BD_143	none	NS_15_OP_BD_143	NA	0	NA	NA	0	NA	0	0
OtsAC18NSNT_0064	NS_15_OP_BD_024	NS_15_OP_BD_041	NA		NS_15_OP_BD_024	NS_15_OP_BD_041	NS_15_OP_BD_024	NS_15_OP_BD_041	NS_15_OP_BD_024	NS_15_OP_BD_041	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0065	none	OtsAC14NSNT_1315	1237 has 2 mismatches		none	OtsAC14NSNT_1315	none	none	none	OtsAC14NSNT_1315	NA	NA	NA	NA	1	NA	0	0
OtsAC18NSNT_0066	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0067	NS-OP_13_0209	NS-OP_13_0384	NA		NS-OP_13_0209	NS-OP_13_0384	NS-OP_13_0209	NS-OP_13_0384	NS-OP_13_0209	NS-OP_13_0384	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0068	none	OtsAC15NSNT_1095	NA		none	OtsAC15NSNT_1095	none	none	none	OtsAC15NSNT_1095	NA	NA	NA	NA	1	NA	0	0
OtsAC18NSNT_0069	none	NS_OP_14_0021	NA		none	NS_OP_14_0021	none	NS_OP_14_0021	none	NS_OP_14_0021	NA	0	NA	NA	0	NA	0	0
OtsAC18NSNT_0071	none	OtsAC15NSNT_1073	NA		none	OtsAC15NSNT_1073	none	OtsAC15NSNT_1073	none	OtsAC15NSNT_1073	NA	0	NA	NA	0	NA	0	0
OtsAC18NSNT_0072	OtsAC15NSNT_1154	OtsAC15NSNT_1529	NA		OtsAC15NSNT_1154	OtsAC15NSNT_1529	OtsAC15NSNT_1154	OtsAC15NSNT_1529	OtsAC15NSNT_1154	OtsAC15NSNT_1529	1	NA	NA	0	1	1	1	1
OtsAC18NSNT_0073	OtsAC14NSNT_1440	OtsAC14NSNT_1237	NA		OtsAC14NSNT_1440	OtsAC14NSNT_1237	OtsAC14NSNT_1440	OtsAC14NSNT_1237	OtsAC14NSNT_1440	OtsAC14NSNT_1237	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0074	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0075	OtsAC14NSNT_1235	OtsAC14NSNT_1016	NA		OtsAC14NSNT_1235	OtsAC14NSNT_1016	OtsAC14NSNT_1235	OtsAC14NSNT_1016	OtsAC14NSNT_1235	OtsAC14NSNT_1016	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0076	NS_Out_13_0118	NS_Out_13_1261	NA		NS_Out_13_0118	NS_Out_13_1261	NS_Out_13_0118	NS_Out_13_1261	NS_Out_13_0118	NS_Out_13_1261	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0077	NS-OP_13_0420	NS-OP_13_0689	NA		NS-OP_13_0420	NS-OP_13_0689	NS-OP_13_0420	NS-OP_13_0689	NS-OP_13_0420	NS-OP_13_0689	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0078	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0079	none	OtsAC14NSNT_1030	NA		none	OtsAC14NSNT_1030	none	OtsAC14NSNT_1030	none	OtsAC14NSNT_1030	NA	0	NA	NA	0	NA	0	0
OtsAC18NSNT_0080	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0081	none	none	"four assigned with 2 mismatches, multiple have possible sizing errors"		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0082	OtsAC14NSNT_1769	OtsAC14NSNT_1720	NA		OtsAC14NSNT_1769	OtsAC14NSNT_1720	OtsAC14NSNT_1769	OtsAC14NSNT_1720	OtsAC14NSNT_1769	OtsAC14NSNT_1720	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0083	NS-OP_13_1174	NS-OP_13_1143	NA		NS-OP_13_1174	NS-OP_13_1143	NS-OP_13_1174	NS-OP_13_1143	NS-OP_13_1174	NS-OP_13_1143	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0084	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0085	NS-OP_13_0039	NS-OP_13_0213	NA		NS-OP_13_0039	NS-OP_13_0213	NS-OP_13_0039	NS-OP_13_0213	NS-OP_13_0039	NS-OP_13_0213	1	NA	NA	0	1	1	1	1
OtsAC18NSNT_0086	NS-OP_13_0807	NS-OP_13_0641	NA		NS-OP_13_0807	NS-OP_13_0641	NS-OP_13_0807	NS-OP_13_0641	NS-OP_13_0807	NS-OP_13_0641	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0087	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0088	OtsAC14NSNT_1235	OtsAC14NSNT_1016	NA		OtsAC14NSNT_1235	OtsAC14NSNT_1016	OtsAC14NSNT_1235	OtsAC14NSNT_1016	OtsAC14NSNT_1235	OtsAC14NSNT_1016	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0089	NS_15_C_AD_022	none	possible sizing error	Sandra assigned 2mm mother	none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0090	OtsAC14NSNT_1863	OtsAC14NSNT_1717	NA		OtsAC14NSNT_1863	OtsAC14NSNT_1717	OtsAC14NSNT_1863	OtsAC14NSNT_1717	OtsAC14NSNT_1863	OtsAC14NSNT_1717	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0091	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0092	NS-OP_13_0945	NS-OP_13_0976	NA		NS-OP_13_0945	NS-OP_13_0976	NS-OP_13_0945	NS-OP_13_0976	NS-OP_13_0945	NS-OP_13_0976	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0093	NS-OP_13_0859	NS-OP_13_0582	NA		NS-OP_13_0859	NS-OP_13_0582	NS-OP_13_0859	NS-OP_13_0582	NS-OP_13_0859	NS-OP_13_0582	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0094	NS-OP_13_0244	NS-OP_13_0891	NA		NS-OP_13_0244	NS-OP_13_0891	NS-OP_13_0244	NS-OP_13_0891	NS-OP_13_0244	NS-OP_13_0891	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0095	NS_Out_13_1660	none	NA		NS_Out_13_1660	none	none	none	NS_Out_13_1660	none	NA	NA	NA	0	NA	NA	0	0
OtsAC18NSNT_0096	none	NS_15_OP_BD_143	NA		none	NS_15_OP_BD_143	none	NS_15_OP_BD_143	none	NS_15_OP_BD_143	NA	0	NA	NA	0	NA	0	0
OtsAC18NSNT_0097	NS_15_OP_BD_144	NS_15_OP_BD_085	NA		NS_15_OP_BD_144	NS_15_OP_BD_085	NS_15_OP_BD_144	NS_15_OP_BD_085	NS_15_OP_BD_144	NS_15_OP_BD_085	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0098	NS_OP_14_0589	NS_OP_14_0459	NA		NS_OP_14_0589	NS_OP_14_0459	NS_OP_14_0589	NS_OP_14_0459	NS_OP_14_0589	NS_OP_14_0459	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0099	none	NS-OP_13_0738	possible sizing error	"Sandra chose a father with 2mm and 12 comparisons over a mother with 1mm and 7 comparisons, the trio did not work (4mm)"	NS_OP_14_0146	none	none	none	NS_OP_14_0146	none	NA	NA	NA	1	NA	NA	0	0
OtsAC18NSNT_0100	none	NS-OP_13_0234	possible sizing error	Sandra assigned 2mm father	none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0101	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0102	NS_15_OP_AD_377	NS_15_OP_AD_585	NA		NS_15_OP_AD_377	NS_15_OP_AD_585	NS_15_OP_AD_377	NS_15_OP_AD_585	NS_15_OP_AD_377	NS_15_OP_AD_585	1	NA	NA	0	0	1	1	1
OtsAC18NSNT_0103	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0104	OtsAC15NSNT_1924	none	possible sizing error		OtsAC15NSNT_1924	none	none	none	OtsAC15NSNT_1924	none	NA	NA	NA	1	NA	NA	0	0
OtsAC18NSNT_0105	NS-OP_13_0209	NS-OP_13_0384	NA		NS-OP_13_0209	NS-OP_13_0384	NS-OP_13_0209	NS-OP_13_0384	NS-OP_13_0209	NS-OP_13_0384	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0107	NS_OP_14_0755	NS_OP_14_0711	NA		NS_OP_14_0755	NS_OP_14_0711	NS_OP_14_0755	NS_OP_14_0711	NS_OP_14_0755	NS_OP_14_0711	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0108	none	none	"two assigned with 2 mismatches, both have possible sizing errors"		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0109	NS-OP_13_0447	NS-OP_13_0765	NA		NS-OP_13_0447	NS-OP_13_0765	NS-OP_13_0447	NS-OP_13_0765	NS-OP_13_0447	NS-OP_13_0765	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0110	NS-OP_13_1145	NS-OP_13_1126	NA		NS-OP_13_1145	NS-OP_13_1126	NS-OP_13_1145	NS-OP_13_1126	NS-OP_13_1145	NS-OP_13_1126	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0111	none	none	1657 had 3 mismatches		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0112	OtsAC14NSNT_1280	OtsAC14NSNT_1264	NA		OtsAC14NSNT_1280	OtsAC14NSNT_1264	OtsAC14NSNT_1280	OtsAC14NSNT_1264	OtsAC14NSNT_1280	OtsAC14NSNT_1264	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0113	OtsAC14NSNT_1805	OtsAC14NSNT_1722	NA		OtsAC14NSNT_1805	OtsAC14NSNT_1722	OtsAC14NSNT_1805	OtsAC14NSNT_1722	OtsAC14NSNT_1805	OtsAC14NSNT_1722	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0114	NS-OP_13_1081	NS-OP_13_1020	NA		NS-OP_13_1081	NS-OP_13_1020	NS-OP_13_1081	NS-OP_13_1020	NS-OP_13_1081	NS-OP_13_1020	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0115	none	NS_15_OP_BD_037	NA		none	NS_15_OP_BD_037	none	none	none	NS_15_OP_BD_037	NA	NA	NA	NA	0	NA	0	0
OtsAC18NSNT_0116	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0117	NS_OP_14_0187	none	NA		NS_OP_14_0187	none	NS_OP_14_0187	none	NS_OP_14_0187	none	NA	NA	1	1	NA	NA	0	0
OtsAC18NSNT_0118	NS_15_OP_BD_009	none	NA		NS_15_OP_BD_009	none	NS_15_OP_BD_009	none	NS_15_OP_BD_009	none	NA	NA	0	0	NA	NA	0	0
OtsAC18NSNT_0119	OtsAC15NSNT_1149	OtsAC15NSNT_1421	NA		OtsAC15NSNT_1149	OtsAC15NSNT_1421	OtsAC15NSNT_1149	OtsAC15NSNT_1421	OtsAC15NSNT_1149	OtsAC15NSNT_1421	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0120	NS-OP_13_0960	NS-OP_13_0910	NA		NS-OP_13_0960	NS-OP_13_0910	NS-OP_13_0960	NS-OP_13_0910	NS-OP_13_0960	NS-OP_13_0910	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0121	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0122	NS_15_OP_BD_079	NS_15_OP_BD_143	NA		NS_15_OP_BD_079	NS_15_OP_BD_143	NS_15_OP_BD_079	NS_15_OP_BD_143	NS_15_OP_BD_079	NS_15_OP_BD_143	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0123	NS-OP_13_0624	NS-OP_13_0765	NA		NS-OP_13_0624	NS-OP_13_0765	NS-OP_13_0624	NS-OP_13_0765	NS-OP_13_0624	NS-OP_13_0765	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0124	OtsAC14NSNT_1440	OtsAC14NSNT_1237	NA		OtsAC14NSNT_1440	OtsAC14NSNT_1237	OtsAC14NSNT_1440	OtsAC14NSNT_1237	OtsAC14NSNT_1440	OtsAC14NSNT_1237	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0125	OtsAC14NSNT_1280	OtsAC14NSNT_1205	NA		OtsAC14NSNT_1280	OtsAC14NSNT_1205	OtsAC14NSNT_1280	OtsAC14NSNT_1205	OtsAC14NSNT_1280	OtsAC14NSNT_1205	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0126	OtsAC15NSNT_1528	OtsAC15NSNT_1063	NA		OtsAC15NSNT_1528	OtsAC15NSNT_1063	OtsAC15NSNT_1528	OtsAC15NSNT_1063	OtsAC15NSNT_1528	OtsAC15NSNT_1063	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0127	OtsAC14NSNT_1068	OtsAC14NSNT_1197	NA		OtsAC14NSNT_1068	OtsAC14NSNT_1197	OtsAC14NSNT_1068	OtsAC14NSNT_1197	OtsAC14NSNT_1068	OtsAC14NSNT_1197	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0128	OtsAC14NSNT_1711	OtsAC14NSNT_1754	NA		OtsAC14NSNT_1711	OtsAC14NSNT_1754	OtsAC14NSNT_1711	OtsAC14NSNT_1754	OtsAC14NSNT_1711	OtsAC14NSNT_1754	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0129	NS_OP_14_0038	none	NA		NS_OP_14_0038	none	NS_OP_14_0038	none	NS_OP_14_0038	none	NA	NA	0	0	NA	NA	0	0
OtsAC18NSNT_0130	NS_OP_14_0708	NS_OP_14_0590	NA		NS_OP_14_0708	NS_OP_14_0590	NS_OP_14_0708	NS_OP_14_0590	NS_OP_14_0708	NS_OP_14_0590	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0131	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0132	NS_OP_14_0040	none	NA		NS_OP_14_0040	none	NS_OP_14_0040	none	NS_OP_14_0040	none	NA	NA	1	1	NA	NA	0	0
OtsAC18NSNT_0133	none	none	1482 has 3 mismatches		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0134	OtsAC14NSNT_1607	OtsAC14NSNT_1595	NA		OtsAC14NSNT_1607	OtsAC14NSNT_1595	OtsAC14NSNT_1607	OtsAC14NSNT_1595	OtsAC14NSNT_1607	OtsAC14NSNT_1595	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0135	OtsAC15NSNT_1942	OtsAC15NSNT_2004	NA		OtsAC15NSNT_1942	OtsAC15NSNT_2004	OtsAC15NSNT_1942	OtsAC15NSNT_2004	OtsAC15NSNT_1942	OtsAC15NSNT_2004	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0136	NS_15_OP_AD_658	none	NA		NS_15_OP_AD_658	none	NS_15_OP_AD_658	none	NS_15_OP_AD_658	none	NA	NA	0	0	NA	NA	0	0
OtsAC18NSNT_0137	OtsAC14NSNT_1183	OtsAC14NSNT_1373	NA		OtsAC14NSNT_1183	OtsAC14NSNT_1373	OtsAC14NSNT_1183	OtsAC14NSNT_1373	OtsAC14NSNT_1183	OtsAC14NSNT_1373	1	NA	NA	0	1	1	1	1
