mother	mother_year	mother_type	mother_date	mother_above_below	father	father_year	father_type	father_date	father_above_below	offspring_sample_id	offspring_year	offspring_type	offspring_date	assn_type	parent_type	geno_sex	offspring_sex
NS-OP_11_0107	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	NS_15_OP_AD_162	2015	reintro_above	2015-06-23	female_only	outplant	F	F
NS-OP_11_0107	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	OtsAC16NSNT_1381	2016	reintro	NA	female_only	outplant	F	F
NS-OP_11_0108	2011	outplant	2011-07-28	above	NS-OP_11_0037	2011	outplant	2011-07-28	above	OtsAC16NSNT_1496	2016	reintro	NA	pair	outplant	M	M
NS-OP_11_0108	2011	outplant	2011-07-28	above	NS-OP_11_0092	2011	outplant	2011-07-28	above	NS_OP_14_0526	2014	reintro	2014-07-28	pair	outplant	M	M
NS-OP_11_0108	2011	outplant	2011-07-28	above	NS-OP_11_0092	2011	outplant	2011-07-28	above	NS_15_OP_AD_379	2015	reintro_above	2015-08-03	pair	outplant	M	M
NS-OP_11_0108	2011	outplant	2011-07-28	above	NS-OP_11_0092	2011	outplant	2011-07-28	above	NS_15_OP_BD_027	2015	reintro	2015-05-28	pair	outplant	F	F
NS-OP_11_0108	2011	outplant	2011-07-28	above	NS-OP_11_0092	2011	outplant	2011-07-28	above	NS_15_OP_BD_150	2015	reintro	2015-06-17	pair	outplant	F	F
NS-OP_11_0108	2011	outplant	2011-07-28	above	NS-OP_11_0092	2011	outplant	2011-07-28	above	OtsAC16NSNT_1380	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0112	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	OtsAC16NSNT_1628	2016	reintro	NA	female_only	outplant	M	M
NS-OP_11_0114	2011	outplant	2011-07-28	above	NS-OP_11_0003	2011	outplant	2011-07-21	above	OtsAC16NSNT_1182	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0114	2011	outplant	2011-07-28	above	NS-OP_11_0003	2011	outplant	2011-07-21	above	OtsAC16NSNT_1604	2016	reintro	NA	pair	outplant	M	M
NS-OP_11_0114	2011	outplant	2011-07-28	above	NS-OP_11_0069	2011	outplant	2011-07-28	above	NS_15_OP_AD_270	2015	reintro_above	2015-07-07	pair	outplant	M	M
NS-OP_11_0114	2011	outplant	2011-07-28	above	NS-OP_11_0069	2011	outplant	2011-07-28	above	NS_15_OP_BD_092	2015	reintro	2015-06-08	pair	outplant	M	M
NS-OP_11_0114	2011	outplant	2011-07-28	above	NS-OP_11_0146	2011	outplant	2011-08-10	above	NS_15_OP_AD_158	2015	reintro_above	2015-06-23	pair	outplant	M	M
NS-OP_11_0114	2011	outplant	2011-07-28	above	NS-OP_11_0146	2011	outplant	2011-08-10	above	NS_15_OP_AD_283	2015	reintro_above	2015-07-20	pair	outplant	M	M
NS-OP_11_0114	2011	outplant	2011-07-28	above	NS-OP_11_0146	2011	outplant	2011-08-10	above	OtsAC16NSNT_1490	2016	reintro	NA	pair	outplant	M	M
NS-OP_11_0114	2011	outplant	2011-07-28	above	NS-OP_11_0146	2011	outplant	2011-08-10	above	OtsAC16NSNT_1574	2016	reintro	NA	pair	outplant	M	M
NS-OP_11_0121	2011	outplant	2011-08-10	above	none	NA	NA	NA	NA	NS_OP_14_0558	2014	reintro	2014-07-28	female_only	outplant	F	F
NS-OP_11_0121	2011	outplant	2011-08-10	above	none	NA	NA	NA	NA	NS_OP_14_0259	2014	reintro	2014-07-03	female_only	outplant	M	M
NS-OP_11_0124	2011	outplant	2011-08-10	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	NS_15_OP_AD_433	2015	reintro_above	2015-08-18	pair	outplant	M	M
NS-OP_11_0124	2011	outplant	2011-08-10	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	OtsAC16NSNT_1009	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0124	2011	outplant	2011-08-10	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	OtsAC16NSNT_1203	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0124	2011	outplant	2011-08-10	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	OtsAC16NSNT_1497	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0124	2011	outplant	2011-08-10	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	OtsAC16NSNT_1418	2016	reintro	NA	pair	outplant	M	M
NS-OP_11_0124	2011	outplant	2011-08-10	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	OtsAC16NSNT_1696	2016	reintro	NA	pair	outplant	M	M
NS-OP_11_0124	2011	outplant	2011-08-10	above	none	NA	NA	NA	NA	NS_15_OP_AD_250	2015	reintro_above	2015-07-07	female_only	outplant	M	M
NS-OP_11_0131	2011	outplant	2011-08-10	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	NS_15_OP_AD_580	2015	reintro_above	2015-09-07	pair	outplant	F	F
NS-OP_11_0131	2011	outplant	2011-08-10	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	NS_15_OP_AD_384	2015	reintro_above	2015-08-03	pair	outplant	M	M
NS-OP_11_0131	2011	outplant	2011-08-10	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	OtsAC16NSNT_1428	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0131	2011	outplant	2011-08-10	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	OtsAC16NSNT_1066	2016	reintro	NA	pair	outplant	M	M
NS-OP_11_0131	2011	outplant	2011-08-10	above	NS-OP_11_0073	2011	outplant	2011-07-28	above	NS_15_OP_AD_257	2015	reintro_above	2015-07-07	pair	outplant	M	M
NS-OP_11_0131	2011	outplant	2011-08-10	above	none	NA	NA	NA	NA	NS_OP_14_0567	2014	reintro	2014-07-28	female_only	outplant	M	M
NS-OP_11_0131	2011	outplant	2011-08-10	above	none	NA	NA	NA	NA	OtsAC16NSNT_1533	2016	reintro	NA	female_only	outplant	F	F
NS-OP_11_0132	2011	outplant	2011-08-10	above	NS-OP_11_0073	2011	outplant	2011-07-28	above	OtsAC16NSNT_1018	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0132	2011	outplant	2011-08-10	above	NS-OP_11_0086	2011	outplant	2011-07-28	above	NS_15_OP_AD_106	2015	reintro_above	2015-06-12	pair	outplant	M	M
NS-OP_11_0132	2011	outplant	2011-08-10	above	NS-OP_11_0122	2011	outplant	2011-08-10	above	NS_15_OP_AD_411	2015	reintro_above	2015-08-11	pair	outplant	M	M
NS-OP_11_0132	2011	outplant	2011-08-10	above	none	NA	NA	NA	NA	NS_15_OP_AD_113	2015	reintro_above	2015-06-12	female_only	outplant	F	F
NS-OP_11_0132	2011	outplant	2011-08-10	above	none	NA	NA	NA	NA	NS_15_OP_AD_278	2015	reintro_above	2015-07-20	female_only	outplant	F	F
NS-OP_11_0132	2011	outplant	2011-08-10	above	none	NA	NA	NA	NA	NS_15_OP_AD_357	2015	reintro_above	2015-08-03	female_only	outplant	F	F
NS-OP_11_0133	2011	outplant	2011-08-10	above	NS-OP_11_0052	2011	outplant	2011-07-28	above	NS_15_OP_BD_318	2015	reintro	2015-07-22	pair	outplant	M	M
NS-OP_11_0133	2011	outplant	2011-08-10	above	NS-OP_11_0052	2011	outplant	2011-07-28	above	OtsAC16NSNT_1424	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0134	2011	outplant	2011-08-10	above	NS-OP_11_0083	2011	outplant	2011-07-28	above	OtsAC16NSNT_1702	2016	reintro	NA	pair	outplant	M	M
NS-OP_11_0134	2011	outplant	2011-08-10	above	NS-OP_11_0113	2011	outplant	2011-07-28	above	NS_15_OP_AD_260	2015	reintro_above	2015-07-07	pair	outplant	M	M
NS-OP_11_0134	2011	outplant	2011-08-10	above	NS-OP_11_0113	2011	outplant	2011-07-28	above	OtsAC16NSNT_1673	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0134	2011	outplant	2011-08-10	above	none	NA	NA	NA	NA	OtsAC16NSNT_1252	2016	reintro	NA	female_only	outplant	M	M
NS-OP_11_0139	2011	outplant	2011-08-10	above	none	NA	NA	NA	NA	NS_OP_14_0704	2014	reintro	2014-08-21	female_only	outplant	F	F
NSant_11_SS_0113	2011	carcass	2011-08-03	below	none	NA	NA	NA	NA	OtsAC16NSNT_1668	2016	reintro	NA	female_only	carcass	M	M
NSant_11_SS_0153	2011	carcass	2011-08-23	below	none	NA	NA	NA	NA	OtsCC16NSNT_2081	2016	carcass	NA	female_only	carcass	F	F
NSant_11_SS_0267	2011	carcass	2011-10-03	below	none	NA	NA	NA	NA	NS_15_OP_AD_627	2015	reintro_above	2015-09-14	female_only	carcass	M	M
NSant_11_SS_0286	2011	carcass	2011-10-03	below	none	NA	NA	NA	NA	NS_15_C_BD_163	2015	carcass	2015-10-05	female_only	carcass	M	M
NSant_11_SS_0286	2011	carcass	2011-10-03	below	none	NA	NA	NA	NA	NS_15_OP_BD_144	2015	reintro	2015-06-17	female_only	carcass	F	F
NSant_11_SS_0286	2011	carcass	2011-10-03	below	none	NA	NA	NA	NA	OtsAC16NSNT_1578	2016	reintro	NA	female_only	carcass	M	M
NSant_11_SS_0606	2011	carcass	2011-09-13	below	none	NA	NA	NA	NA	NS_15_OP_AD_524	2015	reintro_above	2015-08-31	female_only	carcass	F	F
NSant_11_SS_0606	2011	carcass	2011-09-13	below	none	NA	NA	NA	NA	NS_15_OP_AD_638	2015	reintro_above	2015-09-14	female_only	carcass	M	M
NSant_11_SS_0606	2011	carcass	2011-09-13	below	none	NA	NA	NA	NA	NS_15_OP_BD_037	2015	reintro	2015-05-30	female_only	carcass	M	M
NSant_11_SS_0653	2011	carcass	NA	below	none	NA	NA	NA	NA	NS_15_OP_AD_595	2015	reintro_above	2015-09-07	female_only	carcass	M	M
NSant_11_SS_0694	2011	carcass	2011-10-03	below	none	NA	NA	NA	NA	NS_15_OP_AD_632	2015	reintro_above	2015-09-14	female_only	carcass	M	M
NSant_11_SS_0739	2011	carcass	2011-09-27	below	none	NA	NA	NA	NA	NS_15_OP_AD_575	2015	reintro_above	2015-09-07	female_only	carcass	M	M
NSant_11_SS_0744	2011	carcass	2011-09-27	below	none	NA	NA	NA	NA	NS_15_OP_AD_514	2015	reintro_above	2015-08-31	female_only	carcass	M	M
NSant_11_SS_0756	2011	carcass	2011-10-03	below	none	NA	NA	NA	NA	NS_15_OP_AD_636	2015	reintro_above	2015-09-14	female_only	carcass	M	M
NSant_11_SS_0126	2011	carcass	2011-09-13	below	none	NA	NA	NA	NA	NS_15_OP_AD_124	2015	reintro_above	2015-06-12	female_only	carcass	M	M
NSant_11_SS_0145	2011	carcass	2011-09-13	below	none	NA	NA	NA	NA	NS_15_OP_BD_024	2015	reintro	2015-05-28	female_only	carcass	F	F
NSant_11_SS_0167	2011	carcass	2011-08-30	below	none	NA	NA	NA	NA	NS_15_OP_AD_499	2015	reintro_above	2015-08-31	female_only	carcass	M	M
NSant_11_SS_0168	2011	carcass	2011-08-30	below	none	NA	NA	NA	NA	NS_OP_14_0478	2014	reintro	2014-07-18	female_only	carcass	M	M
NSant_11_SS_0276	2011	carcass	2011-10-03	below	none	NA	NA	NA	NA	NS_15_OP_AD_663	2015	reintro_above	2015-09-29	female_only	carcass	M	M
NSant_11_SS_0631	2011	carcass	2011-09-20	below	none	NA	NA	NA	NA	NS_OP_14_0399	2014	reintro	2014-07-14	female_only	carcass	M	M
NSant_11_SS_0631	2011	carcass	2011-09-20	below	none	NA	NA	NA	NA	NS_15_OP_BD_004	2015	reintro	2015-05-08	female_only	carcass	F	F
NSant_11_SS_0647	2011	carcass	2011-09-27	below	none	NA	NA	NA	NA	NS_15_OP_BD_080	2015	reintro	2015-06-08	female_only	carcass	M	M
NSant_11_SS_0689	2011	carcass	2011-10-03	below	none	NA	NA	NA	NA	NS_15_C_AD_141	2015	carcass_above	2015-09-01	female_only	carcass	M	M
NSant_11_SS_0711	2011	carcass	2011-09-27	below	none	NA	NA	NA	NA	NS_15_OP_AD_615	2015	reintro_above	2015-09-11	female_only	carcass	F	F
NSant_11_SS_0712	2011	carcass	2011-09-27	below	none	NA	NA	NA	NA	OtsAC16NSNT_1455	2016	reintro	NA	female_only	carcass	F	F
NSant_11_SS_0752	2011	carcass	2011-09-27	below	none	NA	NA	NA	NA	NS_15_OP_BD_143	2015	reintro	2015-06-17	female_only	carcass	M	M
NSant_11_SS_0761	2011	carcass	2011-10-03	below	NSant_11_SS_0767	2011	carcass	2011-10-03	below	OtsAC16NSNT_1638	2016	reintro	NA	pair	carcass	M	M
NSant_11_SS_0769	2011	carcass	2011-10-03	below	none	NA	NA	NA	NA	NS_15_OP_AD_550	2015	reintro_above	2015-09-02	female_only	carcass	M	M
NS-OP_12_0003	2012	outplant	2012-06-01	above	NS-OP_12_0019	2012	outplant	2012-06-01	above	OtsAC17NSNT_2704	2017	reintro	2017-06-11	pair	outplant	F	F
NS-OP_12_0003	2012	outplant	2012-06-01	above	NS-OP_12_0019	2012	outplant	2012-06-01	above	OtsAC17NSNT_2677	2017	reintro	2017-06-02	pair	outplant	M	M
NS-OP_12_0003	2012	outplant	2012-06-01	above	none	NA	NA	NA	NA	OtsAC16NSNT_1024	2016	reintro	NA	female_only	outplant	F	F
NS-OP_12_0005	2012	outplant	2012-06-01	above	NS-OP_12_0148	2012	outplant	2012-07-10	above	OtsAC16NSNT_1420	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0008	2012	outplant	2012-06-01	above	none	NA	NA	NA	NA	OtsAC17NSNT_2837	2017	reintro	2017-06-24	female_only	outplant	M	M
NS-OP_12_0009	2012	outplant	2012-06-01	above	NS-OP_12_0126	2012	outplant	2012-07-10	above	OtsAC16NSNT_1408	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0009	2012	outplant	2012-06-01	above	NS-OP_12_0134	2012	outplant	2012-07-10	above	OtsAC17NSNT_2773	2017	reintro	2017-06-20	pair	outplant	M	M
NS-OP_12_0009	2012	outplant	2012-06-01	above	NS-OP_12_0135	2012	outplant	2012-07-10	above	OtsAC16NSNT_1152	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0009	2012	outplant	2012-06-01	above	NS-OP_12_0135	2012	outplant	2012-07-10	above	OtsAC16NSNT_1383	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0009	2012	outplant	2012-06-01	above	NS-OP_12_0202	2012	outplant	2012-07-27	above	OtsAC17NSNT_2832	2017	reintro	2017-06-24	pair	outplant	F	F
NS-OP_12_0009	2012	outplant	2012-06-01	above	NS-OP_12_0214	2012	outplant	2012-08-01	above	OtsAC17NSNT_2684	2017	reintro	2017-06-02	pair	outplant	M	M
NS-OP_12_0014	2012	outplant	2012-06-01	above	NS-OP_12_0023	2012	outplant	2012-06-01	above	OtsAC17NSNT_2694	2017	reintro	2017-06-11	pair	outplant	F	F
NS-OP_12_0014	2012	outplant	2012-06-01	above	none	NA	NA	NA	NA	OtsAC16NSNT_1002	2016	reintro	NA	female_only	outplant	M	M
NS-OP_12_0016	2012	outplant	2012-06-01	above	NS-OP_12_0126	2012	outplant	2012-07-10	above	OtsAC16NSNT_1039	2016	reintro	NA	pair	outplant	F	F
NS-OP_12_0018	2012	outplant	2012-06-01	above	NS-OP_12_0071	2012	outplant	2012-06-14	above	NS_15_OP_BD_153	2015	reintro	2015-06-23	pair	outplant	M	M
NS-OP_12_0018	2012	outplant	2012-06-01	above	NS-OP_12_0071	2012	outplant	2012-06-14	above	OtsAC17NSNT_2678	2017	reintro	2017-06-02	pair	outplant	F	F
NS-OP_12_0018	2012	outplant	2012-06-01	above	NS-OP_12_0130	2012	outplant	2012-07-10	above	OtsAC16NSNT_1454	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0018	2012	outplant	2012-06-01	above	NS-OP_12_0130	2012	outplant	2012-07-10	above	OtsAC17NSNT_2812	2017	reintro	2017-06-24	pair	outplant	M	M
NS-OP_12_0018	2012	outplant	2012-06-01	above	none	NA	NA	NA	NA	OtsAC16NSNT_1417	2016	reintro	NA	female_only	outplant	M	M
NS-OP_12_0018	2012	outplant	2012-06-01	above	none	NA	NA	NA	NA	OtsAC17NSNT_2687	2017	reintro	2017-06-02	female_only	outplant	M	M
NS-OP_12_0024	2012	outplant	2012-06-01	above	NS-OP_12_0019	2012	outplant	2012-06-01	above	NS_15_OP_AD_264	2015	reintro_above	2015-07-07	pair	outplant	M	M
NS-OP_12_0024	2012	outplant	2012-06-01	above	NS-OP_12_0019	2012	outplant	2012-06-01	above	OtsAC16NSNT_1414	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0024	2012	outplant	2012-06-01	above	NS-OP_12_0019	2012	outplant	2012-06-01	above	OtsAC16NSNT_1445	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0025	2012	outplant	2012-06-01	above	NS-OP_12_0156	2012	outplant	2012-07-12	above	OtsAC16NSNT_1523	2016	reintro	NA	pair	outplant	F	F
NS-OP_12_0028	2012	outplant	2012-06-14	above	NS-OP_12_0069	2012	outplant	2012-06-14	above	OtsAC16NSNT_1678	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0028	2012	outplant	2012-06-14	above	none	NA	NA	NA	NA	OtsAC16NSNT_1187	2016	reintro	NA	female_only	outplant	F	F
NS-OP_12_0032	2012	outplant	2012-06-14	above	NS-OP_12_0156	2012	outplant	2012-07-12	above	OtsAC16NSNT_1624	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0033	2012	outplant	2012-06-14	above	NS-OP_12_0129	2012	outplant	2012-07-10	above	OtsAC16NSNT_1493	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0033	2012	outplant	2012-06-14	above	NS-OP_12_0129	2012	outplant	2012-07-10	above	OtsAC16NSNT_1507	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0033	2012	outplant	2012-06-14	above	NS-OP_12_0129	2012	outplant	2012-07-10	above	OtsAC16NSNT_1555	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0033	2012	outplant	2012-06-14	above	NS-OP_12_0129	2012	outplant	2012-07-10	above	OtsAC16NSNT_1659	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0033	2012	outplant	2012-06-14	above	NS-OP_12_0129	2012	outplant	2012-07-10	above	OtsAC16NSNT_1667	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0033	2012	outplant	2012-06-14	above	NS-OP_12_0129	2012	outplant	2012-07-10	above	OtsAC17NSNT_2794	2017	reintro	2017-06-24	pair	outplant	F	F
NS-OP_12_0033	2012	outplant	2012-06-14	above	NS-OP_12_0186	2012	outplant	2012-07-27	above	OtsAC16NSNT_1484	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0033	2012	outplant	2012-06-14	above	none	NA	NA	NA	NA	OtsAC17NSNT_2885	2017	reintro	2017-07-06	female_only	outplant	F	F
NS-OP_12_0036	2012	outplant	2012-06-14	above	NS-OP_12_0191	2012	outplant	2012-07-27	above	OtsAC16NSNT_1569	2016	reintro	NA	pair	outplant	F	F
NS-OP_12_0036	2012	outplant	2012-06-14	above	NS-OP_12_0191	2012	outplant	2012-07-27	above	OtsAC16NSNT_1215	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0036	2012	outplant	2012-06-14	above	NS-OP_12_0246	2012	outplant	2012-08-06	above	OtsAC16NSNT_1524	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0037	2012	outplant	2012-06-14	above	NS-OP_12_0049	2012	outplant	2012-06-14	above	OtsAC16NSNT_1537	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0037	2012	outplant	2012-06-14	above	NS-OP_12_0247	2012	outplant	2012-08-06	above	OtsAC17NSNT_2797	2017	reintro	2017-06-24	pair	outplant	F	F
NS-OP_12_0037	2012	outplant	2012-06-14	above	NS-OP_12_0247	2012	outplant	2012-08-06	above	OtsAC17NSNT_2883	2017	reintro	2017-07-06	pair	outplant	F	F
NS-OP_12_0037	2012	outplant	2012-06-14	above	NS-OP_12_0247	2012	outplant	2012-08-06	above	OtsAC17NSNT_3035	2017	reintro	2017-08-08	pair	outplant	F	F
NS-OP_12_0037	2012	outplant	2012-06-14	above	NS-OP_12_0247	2012	outplant	2012-08-06	above	OtsAC17NSNT_2705	2017	reintro	2017-06-11	pair	outplant	M	M
NS-OP_12_0040	2012	outplant	2012-06-14	above	NS-OP_12_0034	2012	outplant	2012-06-14	above	OtsAC16NSNT_1544	2016	reintro	NA	pair	outplant	F	F
NS-OP_12_0040	2012	outplant	2012-06-14	above	NS-OP_12_0202	2012	outplant	2012-07-27	above	OtsAC16NSNT_1501	2016	reintro	NA	pair	outplant	F	F
NS-OP_12_0041	2012	outplant	2012-06-14	above	NS-OP_12_0165	2012	outplant	2012-07-12	above	OtsAC17NSNT_3121	2017	reintro	2017-08-22	pair	outplant	M	M
NS-OP_12_0041	2012	outplant	2012-06-14	above	none	NA	NA	NA	NA	OtsAC17NSNT_2848	2017	reintro	2017-06-24	female_only	outplant	M	M
NS-OP_12_0043	2012	outplant	2012-06-14	above	NS-OP_12_0127	2012	outplant	2012-07-10	above	OtsAC16NSNT_1469	2016	reintro	NA	pair	outplant	M	M
NS-OP_12_0043	2012	outplant	2012-06-14	above	NS-OP_12_0127	2012	outplant	2012-07-10	above	OtsAC17NSNT_2754	2017	reintro	2017-06-20	pair	outplant	F	F
