offspring_sample_id	mother	father
OtsAC17NSNT_3055	NS-OP_12_0096	NS-OP_12_0019
OtsAC16NSNT_1599	NS-OP_12_0097	NS-OP_12_0071
OtsAC16NSNT_1385	NS-OP_12_0097	NS-OP_12_0071
OtsAC17NSNT_3029	NS-OP_12_0097	NS-OP_12_0071
OtsAC16NSNT_1236	NS-OP_12_0097	NS-OP_12_0129
OtsAC16NSNT_1492	NS-OP_12_0100	NS-OP_12_0201
OtsAC16NSNT_1153	NS-OP_12_0100	NS-OP_12_0201
OtsAC16NSNT_1430	NS-OP_12_0100	NS-OP_12_0201
OtsAC16NSNT_1509	NS-OP_12_0100	NS-OP_12_0201
OtsAC16NSNT_1663	NS-OP_12_0100	NS-OP_12_0201
OtsAC16NSNT_1195	NS-OP_12_0101	NS-OP_12_0127
OtsAC17NSNT_3137	NS-OP_12_0102	NS-OP_12_0126
OtsAC16NSNT_1579	NS-OP_12_0102	NS-OP_12_0198
OtsAC16NSNT_1197	NS-OP_12_0102	NS-OP_12_0199
OtsAC16NSNT_1679	NS-OP_12_0102	NS-OP_12_0199
OtsAC17NSNT_3150	NS-OP_12_0102	NS-OP_12_0231
OtsAC16NSNT_1008	NS-OP_12_0104	NS-OP_12_0202
OtsAC17NSNT_2888	NS-OP_12_0108	NS-OP_12_0083
OtsAC16NSNT_1488	NS-OP_12_0108	NS-OP_12_0089
OtsAC16NSNT_1185	NS-OP_12_0108	NS-OP_12_0151
OtsAC16NSNT_1651	NS-OP_12_0108	NS-OP_12_0151
OtsAC17NSNT_2967	NS-OP_12_0108	NS-OP_12_0151
OtsAC16NSNT_1169	NS-OP_12_0108	NS-OP_12_0215
OtsAC17NSNT_2783	NS-OP_12_0108	NS-OP_12_0215
OtsAC17NSNT_2695	NS-OP_12_0112	NS-OP_12_0192
OtsAC17NSNT_2744	NS-OP_12_0112	NS-OP_12_0192
OtsAC16NSNT_1694	NS-OP_12_0112	NS-OP_12_0202
OtsAC17NSNT_2867	NS-OP_12_0112	NS-OP_12_0202
OtsAC16NSNT_1699	NS-OP_12_0123	NS-OP_12_0090
OtsAC16NSNT_1142	NS-OP_12_0123	NS-OP_12_0195
OtsAC17NSNT_2914	NS-OP_12_0123	NS-OP_12_0195
OtsAC17NSNT_2984	NS-OP_12_0124	NS-OP_12_0147
OtsAC16NSNT_1392	NS-OP_12_0125	NS-OP_12_0093
OtsAC17NSNT_3070	NS-OP_12_0125	NS-OP_12_0130
OtsAC16NSNT_1652	NS-OP_12_0125	NS-OP_12_0233
OtsAC16NSNT_1384	NS-OP_12_0153	NS-OP_12_0093
OtsAC16NSNT_1248	NS-OP_12_0153	NS-OP_12_0130
OtsAC16NSNT_1511	NS-OP_12_0170	NS-OP_12_0147
NS_15_OP_BD_138	NS-OP_12_0174	NS-OP_12_0127
OtsAC16NSNT_1502	NS-OP_12_0174	NS-OP_12_0127
OtsAC16NSNT_1489	NS-OP_12_0174	NS-OP_12_0127
OtsAC17NSNT_3001	NS-OP_12_0174	NS-OP_12_0127
OtsAC16NSNT_1259	NS-OP_12_0174	NS-OP_12_0192
OtsAC17NSNT_2865	NS-OP_12_0174	NS-OP_12_0192
OtsAC16NSNT_1396	NS-OP_12_0176	NS-OP_12_0049
OtsAC16NSNT_1406	NS-OP_12_0176	NS-OP_12_0049
OtsAC16NSNT_1231	NS-OP_12_0176	NS-OP_12_0049
OtsAC17NSNT_2698	NS-OP_12_0176	NS-OP_12_0049
OtsAC17NSNT_2845	NS-OP_12_0176	NS-OP_12_0049
OtsAC17NSNT_3116	NS-OP_12_0176	NS-OP_12_0049
OtsAC17NSNT_2872	NS-OP_12_0176	NS-OP_12_0049
OtsAC17NSNT_2981	NS-OP_12_0176	NS-OP_12_0130
OtsAC17NSNT_2908	NS-OP_12_0176	NS-OP_12_0138
OtsAC17NSNT_3145	NS-OP_12_0183	NS-OP_12_0200
OtsAC16NSNT_1207	NS-OP_12_0190	NS-OP_12_0026
OtsAC17NSNT_2936	NS-OP_12_0190	NS-OP_12_0026
OtsAC17NSNT_2969	NS-OP_12_0190	NS-OP_12_0026
OtsAC16NSNT_1646	NS-OP_12_0190	NS-OP_12_0068
OtsAC16NSNT_1189	NS-OP_12_0190	NS-OP_12_0126
OtsAC17NSNT_2850	NS-OP_12_0190	NS-OP_12_0126
OtsAC17NSNT_3065	NS-OP_12_0190	NS-OP_12_0126
OtsAC16NSNT_1214	NS-OP_12_0203	NS-OP_12_0126
OtsAC17NSNT_3063	NS-OP_12_0203	NS-OP_12_0126
OtsAC17NSNT_3112	NS-OP_12_0210	NS-OP_12_0165
OtsAC17NSNT_2676	NS-OP_12_0219	NS-OP_12_0198
OtsAC17NSNT_3130	NS-OP_12_0230	NS-OP_12_0202
OtsAC17NSNT_3118	NS-OP_12_0230	NS-OP_12_0202
OtsAC17NSNT_2928	NS-OP_12_0230	NS-OP_12_0214
OtsAC17NSNT_3097	NS-OP_12_0230	NS-OP_12_0214
OtsAC17NSNT_3049	NS-OP_12_0235	NS-OP_12_0247
OtsAC16NSNT_1440	NS-OP_12_0243	NS-OP_12_0147
OtsAC16NSNT_1401	NS-OP_12_0243	NS-OP_12_0147
OtsAC17NSNT_3156	NS-OP_12_0243	NS-OP_12_0147
OtsAC17NSNT_2910	NS-SS_12_0163	NS-SS_12_0169
OtsAC17NSNT_2840	NS-OP_13_0001	NS-OP_13_0466
OtsAC17NSNT_2778	NS-OP_13_0005	NS-OP_13_0050
OtsAC17NSNT_2681	NS-OP_13_0018	NS-OP_13_0246
OtsAC17NSNT_2907	NS-OP_13_0028	NS-OP_13_0861
OtsAC18NSNT_0182	NS-OP_13_0033	NS-OP_13_0794
OtsAC18NSNT_0085	NS-OP_13_0039	NS-OP_13_0213
OtsAC17NSNT_2976	NS-OP_13_0040	NS-OP_13_0747
OtsAC17NSNT_2792	NS-OP_13_0057	NS-OP_13_0604
OtsAC17NSNT_2770	NS-OP_13_0072	NS-OP_13_0053
OtsAC17NSNT_2752	NS-OP_13_0084	NS-OP_13_0250
OtsAC17NSNT_2977	NS-OP_13_0084	NS-OP_13_0250
OtsAC17NSNT_3134	NS-OP_13_0084	NS-OP_13_0250
OtsAC18NSNT_0179	NS-OP_13_0084	NS-OP_13_0250
OtsAC17NSNT_2934	NS-OP_13_0129	NS-OP_13_0050
OtsAC17NSNT_2804	NS-OP_13_0129	NS-OP_13_0740
OtsAC18NSNT_0178	NS-OP_13_0129	NS-OP_13_0740
OtsAC17NSNT_2838	NS-OP_13_0138	NS-OP_13_0029
OtsAC17NSNT_2807	NS-OP_13_0138	NS-OP_13_0480
OtsAC17NSNT_2988	NS-OP_13_0138	NS-OP_13_0480
OtsAC17NSNT_2925	NS-OP_13_0141	NS-OP_13_0171
OtsAC17NSNT_2876	NS-OP_13_0144	NS-OP_13_0799
OtsAC17NSNT_2748	NS-OP_13_0162	NS-OP_13_0888
OtsAC17NSNT_2741	NS-OP_13_0164	NS-OP_13_0874
OtsAC17NSNT_2732	NS-OP_13_0166	NS-OP_13_0375
OtsAC18NSNT_0041	NS-OP_13_0166	NS-OP_13_0375
OtsAC17NSNT_2820	NS-OP_13_0194	NS-OP_13_0312
OtsAC17NSNT_2789	NS-OP_13_0194	NS-OP_13_0312
OtsAC17NSNT_2949	NS-OP_13_0194	NS-OP_13_0726
OtsAC18NSNT_0169	NS-OP_13_0194	NS-OP_13_0726
OtsAC17NSNT_2963	NS-OP_13_0205	NS-OP_13_0399
OtsAC18NSNT_0032	NS-OP_13_0205	NS-OP_13_0399
OtsAC18NSNT_0005	NS-OP_13_0205	NS-OP_13_0399
OtsAC18NSNT_0067	NS-OP_13_0209	NS-OP_13_0384
OtsAC18NSNT_0105	NS-OP_13_0209	NS-OP_13_0384
OtsAC18NSNT_0155	NS-OP_13_0209	NS-OP_13_0410
OtsAC18NSNT_0010	NS-OP_13_0209	NS-OP_13_0460
OtsAC18NSNT_0054	NS-OP_13_0209	NS-OP_13_0460
OtsAC17NSNT_2801	NS-OP_13_0226	NS-OP_13_0050
OtsAC17NSNT_2938	NS-OP_13_0226	NS-OP_13_0050
OtsAC18NSNT_0223	NS-OP_13_0226	NS-OP_13_0050
OtsAC18NSNT_0154	NS-OP_13_0233	NS-OP_13_0045
OtsAC18NSNT_0011	NS-OP_13_0244	NS-OP_13_0208
OtsAC17NSNT_3178	NS-OP_13_0244	NS-OP_13_0851
OtsAC18NSNT_0094	NS-OP_13_0244	NS-OP_13_0891
OtsAC18NSNT_0006	NS-OP_13_0247	NS-OP_13_0462
OtsAC17NSNT_2920	NS-OP_13_0265	NS-OP_13_0146
OtsAC17NSNT_2890	NS-OP_13_0266	NS-OP_13_0165
OtsAC17NSNT_3026	NS-OP_13_0266	NS-OP_13_0387
OtsAC18NSNT_0046	NS-OP_13_0268	NS-OP_13_0432
OtsAC17NSNT_2690	NS-OP_13_0281	NS-OP_13_0438
OtsAC17NSNT_2730	NS-OP_13_0281	NS-OP_13_0438
OtsAC17NSNT_2755	NS-OP_13_0285	NS-OP_13_0284
OtsAC17NSNT_2866	NS-OP_13_0306	NS-OP_13_0748
OtsAC17NSNT_2680	NS-OP_13_0306	NS-OP_13_0748
OtsAC17NSNT_2828	NS-OP_13_0306	NS-OP_13_0748
OtsAC17NSNT_3021	NS-OP_13_0325	NS-OP_13_0650
OtsAC17NSNT_2906	NS-OP_13_0325	NS-OP_13_0828
OtsAC17NSNT_2851	NS-OP_13_0335	NS-OP_13_0466
OtsAC17NSNT_3058	NS-OP_13_0347	NS-OP_13_0589
OtsAC17NSNT_3141	NS-OP_13_0347	NS-OP_13_0615
OtsAC17NSNT_3170	NS-OP_13_0350	NS-OP_13_0712
OtsAC17NSNT_2852	NS-OP_13_0361	NS-OP_13_0251
OtsAC17NSNT_2892	NS-OP_13_0371	NS-OP_13_0389
OtsAC17NSNT_3037	NS-OP_13_0371	NS-OP_13_0642
OtsAC17NSNT_3022	NS-OP_13_0371	NS-OP_13_0642
OtsAC17NSNT_2836	NS-OP_13_0385	NS-OP_13_0888
OtsAC17NSNT_2777	NS-OP_13_0388	NS-OP_13_0377
OtsAC16NSNT_1404	NS-OP_13_0388	NS-OP_13_0556
OtsAC17NSNT_2992	NS-OP_13_0401	NS-OP_13_0222
OtsAC17NSNT_3000	NS-OP_13_0419	NS-OP_13_0418
OtsAC17NSNT_3110	NS-OP_13_0419	NS-OP_13_0418
OtsAC17NSNT_3060	NS-OP_13_0420	NS-OP_13_0310
OtsAC18NSNT_0047	NS-OP_13_0420	NS-OP_13_0583
OtsAC17NSNT_3122	NS-OP_13_0420	NS-OP_13_0610
OtsAC17NSNT_3032	NS-OP_13_0420	NS-OP_13_0689
OtsAC18NSNT_0077	NS-OP_13_0420	NS-OP_13_0689
OtsAC18NSNT_0017	NS-OP_13_0427	NS-OP_13_0648
OtsAC17NSNT_2987	NS-OP_13_0429	NS-OP_13_0610
OtsAC17NSNT_2999	NS-OP_13_0445	NS-OP_13_0636
OtsAC17NSNT_2774	NS-OP_13_0447	NS-OP_13_0217
OtsAC17NSNT_2966	NS-OP_13_0447	NS-OP_13_0765
OtsAC17NSNT_2968	NS-OP_13_0447	NS-OP_13_0765
OtsAC18NSNT_0109	NS-OP_13_0447	NS-OP_13_0765
OtsAC17NSNT_2776	NS-OP_13_0471	NS-OP_13_0326
OtsAC17NSNT_2800	NS-OP_13_0471	NS-OP_13_0326
OtsAC18NSNT_0181	NS-OP_13_0482	NS-OP_13_0600
OtsAC17NSNT_2721	NS-OP_13_0485	NS-OP_13_0025
OtsAC17NSNT_2998	NS-OP_13_0493	NS-OP_13_0199
OtsAC17NSNT_2706	NS-OP_13_0507	NS-OP_13_0810
OtsAC17NSNT_2746	NS-OP_13_0512	NS-OP_13_0050
OtsAC17NSNT_3076	NS-OP_13_0544	NS-OP_13_0733
OtsAC18NSNT_0162	NS-OP_13_0552	NS-OP_13_0650
OtsAC17NSNT_2716	NS-OP_13_0558	NS-OP_13_0999
OtsAC17NSNT_2961	NS-OP_13_0558	NS-OP_13_0999
OtsAC17NSNT_2919	NS-OP_13_0568	NS-OP_13_0344
OtsAC17NSNT_2724	NS-OP_13_0614	NS-OP_13_0222
OtsAC17NSNT_3124	NS-OP_13_0614	NS-OP_13_0222
OtsAC17NSNT_3160	NS-OP_13_0614	NS-OP_13_0222
OtsAC17NSNT_2896	NS-OP_13_0614	NS-OP_13_0481
OtsAC17NSNT_2835	NS-OP_13_0617	NS-OP_13_0307
OtsAC18NSNT_0123	NS-OP_13_0624	NS-OP_13_0765
OtsAC17NSNT_3044	NS-OP_13_0629	NS-OP_13_0451
OtsAC17NSNT_2899	NS-OP_13_0639	NS-OP_13_0338
OtsAC17NSNT_2952	NS-OP_13_0639	NS-OP_13_0765
OtsAC17NSNT_2842	NS-OP_13_0639	NS-OP_13_0792
OtsAC17NSNT_2955	NS-OP_13_0639	NS-OP_13_0861
OtsAC17NSNT_2947	NS-OP_13_0640	NS-OP_13_0375
OtsAC17NSNT_2740	NS-OP_13_0640	NS-OP_13_0823
OtsAC17NSNT_2821	NS-OP_13_0640	NS-OP_13_0867
OtsAC17NSNT_3153	NS-OP_13_0653	NS-OP_13_0752
OtsCC17NSNT_0509	NS-OP_13_0654	NS-OP_13_0053
OtsAC16NSNT_1664	NS-OP_13_0660	NS-OP_13_0185
OtsAC17NSNT_2911	NS-OP_13_0699	NS-OP_13_0702
OtsAC17NSNT_2791	NS-OP_13_0706	NS-OP_13_0765
OtsAC17NSNT_3013	NS-OP_13_0713	NS-OP_13_0700
OtsAC17NSNT_2932	NS-OP_13_0713	NS-OP_13_0700
OtsAC17NSNT_3142	NS-OP_13_0723	NS-OP_13_0053
OtsAC17NSNT_2862	NS-OP_13_0723	NS-OP_13_0053
OtsAC17NSNT_2875	NS-OP_13_0728	NS-OP_13_0620
OtsAC16NSNT_1672	NS-OP_13_0762	NS-OP_13_0767
OtsAC17NSNT_3003	NS-OP_13_0762	NS-OP_13_0767
OtsAC17NSNT_2971	NS-OP_13_0762	NS-OP_13_0767
OtsAC17NSNT_3010	NS-OP_13_0762	NS-OP_13_0767
OtsAC17NSNT_2937	NS-OP_13_0763	NS-OP_13_0650
OtsAC17NSNT_2702	NS-OP_13_0764	NS-OP_13_0180
OtsAC16NSNT_1161	NS-OP_13_0764	NS-OP_13_0314
OtsAC17NSNT_3036	NS-OP_13_0768	NS-OP_13_0796
OtsAC18NSNT_0142	NS-OP_13_0768	NS-OP_13_0796
OtsAC17NSNT_2884	NS-OP_13_0798	NS-OP_13_0877
OtsAC18NSNT_0086	NS-OP_13_0807	NS-OP_13_0641
OtsAC18NSNT_0044	NS-OP_13_0808	NS-OP_13_0610
OtsAC17NSNT_3119	NS-OP_13_0826	NS-OP_13_0670
OtsAC17NSNT_3027	NS-OP_13_0849	NS-OP_13_0389
OtsAC18NSNT_0093	NS-OP_13_0859	NS-OP_13_0582
OtsAC17NSNT_2951	NS-OP_13_0876	NS-OP_13_0461
OtsAC17NSNT_3043	NS-OP_13_0876	NS-OP_13_0767
OtsAC17NSNT_2903	NS-OP_13_0879	NS-OP_13_0565
OtsAC17NSNT_2682	NS-OP_13_0879	NS-OP_13_0565
OtsAC18NSNT_0232	NS-OP_13_0887	NS-OP_13_0613
OtsAC17NSNT_3025	NS-OP_13_0887	NS-OP_13_0933
OtsAC17NSNT_3086	NS-OP_13_0887	NS-OP_13_0948
OtsAC17NSNT_3149	NS-OP_13_0925	NS-OP_13_0948
OtsAC18NSNT_0244	NS-OP_13_0925	NS-OP_13_0948
OtsAC17NSNT_3109	NS-OP_13_0930	NS-OP_13_0387
OtsAC17NSNT_3080	NS-OP_13_0930	NS-OP_13_0695
OtsAC17NSNT_2802	NS-OP_13_0930	NS-OP_13_0961
OtsAC17NSNT_2795	NS-OP_13_0931	NS-OP_13_0551
OtsAC18NSNT_0033	NS-OP_13_0945	NS-OP_13_0976
OtsAC18NSNT_0092	NS-OP_13_0945	NS-OP_13_0976
OtsAC17NSNT_2784	NS-OP_13_0954	NS-OP_13_0490
OtsAC17NSNT_2983	NS-OP_13_0954	NS-OP_13_0490
OtsAC18NSNT_0120	NS-OP_13_0960	NS-OP_13_0910
OtsAC17NSNT_2715	NS-OP_13_0960	NS-OP_13_0936
OtsAC17NSNT_2717	NS-OP_13_0971	NS-OP_13_0939
OtsAC17NSNT_2833	NS-OP_13_0979	NS-OP_13_0847
OtsAC17NSNT_3008	NS-OP_13_0979	NS-OP_13_0847
OtsAC17NSNT_2693	NS-OP_13_0989	NS-OP_13_0746
OtsAC17NSNT_2762	NS-OP_13_0989	NS-OP_13_0746
OtsAC17NSNT_2759	NS-OP_13_0989	NS-OP_13_1138
OtsAC17NSNT_2709	NS-OP_13_0989	NS-OP_13_1138
OtsAC17NSNT_2874	NS-OP_13_0989	NS-OP_13_1138
OtsAC17NSNT_2849	NS-OP_13_0998	NS-OP_13_0961
OtsAC18NSNT_0159	NS-OP_13_0998	NS-OP_13_0961
OtsAC17NSNT_2769	NS-OP_13_1019	NS-OP_13_1122
OtsAC17NSNT_2742	NS-OP_13_1021	NS-OP_13_0936
OtsAC18NSNT_0009	NS-OP_13_1049	NS-OP_13_1103
OtsAC17NSNT_2685	NS-OP_13_1061	NS-OP_13_0936
OtsAC17NSNT_2679	NS-OP_13_1061	NS-OP_13_0936
OtsAC17NSNT_2689	NS-OP_13_1061	NS-OP_13_0936
OtsAC17NSNT_2713	NS-OP_13_1061	NS-OP_13_0936
OtsAC18NSNT_0027	NS-OP_13_1070	NS-OP_13_1024
OtsAC17NSNT_2772	NS-OP_13_1078	NS-OP_13_1026
OtsAC17NSNT_3128	NS-OP_13_1078	NS-OP_13_1026
OtsAC17NSNT_3015	NS-OP_13_1078	NS-OP_13_1026
OtsAC17NSNT_2718	NS-OP_13_1081	NS-OP_13_1020
OtsAC17NSNT_2923	NS-OP_13_1081	NS-OP_13_1020
OtsAC18NSNT_0114	NS-OP_13_1081	NS-OP_13_1020
OtsAC17NSNT_2683	NS-OP_13_1085	NS-OP_13_1122
OtsAC17NSNT_2703	NS-OP_13_1085	NS-OP_13_1122
OtsAC17NSNT_3177	NS-OP_13_1136	NS-OP_13_1103
OtsAC17NSNT_2793	NS-OP_13_1136	NS-OP_13_1103
OtsAC17NSNT_3064	NS-OP_13_1136	NS-OP_13_1103
OtsAC17NSNT_3174	NS-OP_13_1136	NS-OP_13_1124
OtsAC17NSNT_2711	NS-OP_13_1136	NS-OP_13_1124
OtsAC17NSNT_3046	NS-OP_13_1136	NS-OP_13_1137
OtsAC17NSNT_2814	NS-OP_13_1145	NS-OP_13_1126
OtsAC17NSNT_2897	NS-OP_13_1145	NS-OP_13_1126
OtsAC18NSNT_0110	NS-OP_13_1145	NS-OP_13_1126
OtsAC17NSNT_2788	NS-OP_13_1167	NS-OP_13_1137
OtsAC17NSNT_3034	NS-OP_13_1174	NS-OP_13_0461
OtsAC17NSNT_2933	NS-OP_13_1174	NS-OP_13_1143
OtsAC18NSNT_0083	NS-OP_13_1174	NS-OP_13_1143
OtsAC17NSNT_3077	NS_SS_13_0149	NS_Out_13_0101
OtsAC17NSNT_3084	NS_Out_13_0111	NS_Out_13_1498
OtsAC17NSNT_2913	NS_Out_13_0118	NS_Out_13_1261
