date	geno_sex	origin	location	length	comments	year	type	sample_id	above_below
2011-07-28	F	HOR	mongold	75	NA	2011	outplant	NS-OP_11_0093	above
2011-07-28	F	HOR	mongold	NA	NA	2011	outplant	NS-OP_11_0096	above
2011-07-28	F	HOR	mongold	85	NA	2011	outplant	NS-OP_11_0097	above
2011-07-28	F	HOR	mongold	73	NA	2011	outplant	NS-OP_11_0098	above
2011-07-28	F	HOR	mongold	77	head wound	2011	outplant	NS-OP_11_0099	above
2011-07-28	F	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0100	above
2011-07-28	F	HOR	mongold	76	NA	2011	outplant	NS-OP_11_0106	above
2011-07-28	F	HOR	mongold	85	NA	2011	outplant	NS-OP_11_0107	above
2011-07-28	F	HOR	mongold	76	NA	2011	outplant	NS-OP_11_0108	above
2011-07-28	F	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0112	above
2011-07-28	F	HOR	mongold	63	NA	2011	outplant	NS-OP_11_0114	above
2011-07-28	F	HOR	mongold	85	NA	2011	outplant	NS-OP_11_0115	above
2011-08-10	F	HOR	mongold	89	used electro; Box # N. Santiam 2011 DNA box #2	2011	outplant	NS-OP_11_0117	above
2011-08-10	F	HOR	mongold	89	NA	2011	outplant	NS-OP_11_0119	above
2011-08-10	F	HOR	mongold	81	NA	2011	outplant	NS-OP_11_0121	above
2011-08-10	F	HOR	mongold	64	NA	2011	outplant	NS-OP_11_0124	above
2011-08-10	F	HOR	mongold	76	NA	2011	outplant	NS-OP_11_0125	above
2011-08-10	F	HOR	mongold	85	NA	2011	outplant	NS-OP_11_0126	above
2011-08-10	F	HOR	mongold	73	NA	2011	outplant	NS-OP_11_0128	above
2011-08-10	F	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0129	above
2011-08-10	F	HOR	mongold	79	NA	2011	outplant	NS-OP_11_0131	above
2011-08-10	F	HOR	mongold	79	NA	2011	outplant	NS-OP_11_0132	above
2011-08-10	F	HOR	mongold	85	NA	2011	outplant	NS-OP_11_0133	above
2011-08-10	F	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0134	above
2011-08-10	F	HOR	mongold	81	NA	2011	outplant	NS-OP_11_0138	above
2011-08-10	F	HOR	mongold	81	NA	2011	outplant	NS-OP_11_0139	above
2011-08-10	F	HOR	mongold	83	NA	2011	outplant	NS-OP_11_0140	above
2011-08-10	F	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0142	above
2011-08-10	F	HOR	mongold	79	NA	2011	outplant	NS-OP_11_0143	above
2011-08-10	F	HOR	mongold	64	NA	2011	outplant	NS-OP_11_0149	above
2011-08-10	F	HOR	mongold	79	used electro	2011	outplant	NS-OP_11_0150	above
2011-07-21	M	HOR	mongold	73	NA	2011	outplant	NS-OP_11_0001	above
2011-07-21	M	HOR	mongold	75	NA	2011	outplant	NS-OP_11_0002	above
2011-07-21	M	HOR	mongold	79	NA	2011	outplant	NS-OP_11_0003	above
2011-07-21	M	HOR	mongold	91	NA	2011	outplant	NS-OP_11_0005	above
2011-07-21	M	HOR	mongold	76	NA	2011	outplant	NS-OP_11_0006	above
2011-07-21	M	HOR	mongold	78	NA	2011	outplant	NS-OP_11_0007	above
2011-07-21	M	HOR	mongold	83	NA	2011	outplant	NS-OP_11_0009	above
2011-07-21	M	HOR	mongold	93	NA	2011	outplant	NS-OP_11_0010	above
2011-07-21	M	HOR	mongold	76	NA	2011	outplant	NS-OP_11_0011	above
2011-07-21	M	HOR	mongold	76	NA	2011	outplant	NS-OP_11_0012	above
2011-07-21	M	HOR	mongold	71	NA	2011	outplant	NS-OP_11_0013	above
2011-07-21	M	HOR	mongold	76	NA	2011	outplant	NS-OP_11_0017	above
2011-07-21	M	HOR	mongold	81	NA	2011	outplant	NS-OP_11_0019	above
2011-07-21	M	HOR	mongold	71	NA	2011	outplant	NS-OP_11_0021	above
2011-07-21	M	HOR	mongold	58	NA	2011	outplant	NS-OP_11_0022	above
2011-07-21	M	HOR	mongold	54	NA	2011	outplant	NS-OP_11_0023	above
2011-07-28	M	HOR	mongold	68	NA	2011	outplant	NS-OP_11_0028	above
2011-07-28	M	HOR	mongold	74	NA	2011	outplant	NS-OP_11_0029	above
2011-07-28	M	HOR	mongold	71	NA	2011	outplant	NS-OP_11_0030	above
2011-07-28	M	HOR	mongold	72	wound left back tail	2011	outplant	NS-OP_11_0031	above
2011-07-28	M	HOR	mongold	76	NA	2011	outplant	NS-OP_11_0032	above
2011-07-28	M	HOR	mongold	69	head wound	2011	outplant	NS-OP_11_0033	above
2011-07-28	M	HOR	mongold	73	NA	2011	outplant	NS-OP_11_0037	above
2011-07-28	M	HOR	mongold	68	NA	2011	outplant	NS-OP_11_0040	above
2011-07-28	M	HOR	mongold	81	NA	2011	outplant	NS-OP_11_0044	above
2011-07-28	M	HOR	mongold	90	NA	2011	outplant	NS-OP_11_0046	above
2011-07-28	M	HOR	mongold	86	jaw wound	2011	outplant	NS-OP_11_0049	above
2011-07-28	M	HOR	mongold	84	NA	2011	outplant	NS-OP_11_0052	above
2011-07-28	M	HOR	mongold	72	NA	2011	outplant	NS-OP_11_0053	above
2011-07-28	M	HOR	mongold	78	NA	2011	outplant	NS-OP_11_0054	above
2011-07-28	M	HOR	mongold	81	NA	2011	outplant	NS-OP_11_0055	above
2011-07-28	M	HOR	mongold	84	de-scaling	2011	outplant	NS-OP_11_0056	above
2011-07-28	M	HOR	mongold	67	NA	2011	outplant	NS-OP_11_0059	above
2011-07-28	M	HOR	mongold	73	de-scaling	2011	outplant	NS-OP_11_0061	above
2011-07-28	M	HOR	mongold	83	NA	2011	outplant	NS-OP_11_0062	above
2011-07-28	M	HOR	mongold	71	NA	2011	outplant	NS-OP_11_0068	above
2011-07-28	M	HOR	mongold	76	NA	2011	outplant	NS-OP_11_0069	above
2011-07-28	M	HOR	mongold	72	NA	2011	outplant	NS-OP_11_0071	above
2011-07-28	M	HOR	mongold	78	de-scaled	2011	outplant	NS-OP_11_0072	above
2011-07-28	M	HOR	mongold	84	NA	2011	outplant	NS-OP_11_0073	above
2011-07-28	M	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0079	above
2011-07-28	M	HOR	mongold	78	NA	2011	outplant	NS-OP_11_0080	above
2011-07-28	M	HOR	mongold	79	NA	2011	outplant	NS-OP_11_0083	above
2011-07-28	M	HOR	mongold	65	NA	2011	outplant	NS-OP_11_0084	above
2011-07-28	M	HOR	mongold	73	NA	2011	outplant	NS-OP_11_0085	above
2011-07-28	M	HOR	mongold	54	NA	2011	outplant	NS-OP_11_0086	above
2011-07-28	M	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0089	above
2011-07-28	M	HOR	mongold	74	tail wound	2011	outplant	NS-OP_11_0091	above
2011-07-28	M	HOR	mongold	79	NA	2011	outplant	NS-OP_11_0092	above
2011-07-28	M	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0094	above
NA	M	HOR	mongold	85	NA	2011	outplant	NS-OP_11_0095	above
2011-07-28	M	HOR	mongold	80	NA	2011	outplant	NS-OP_11_0101	above
2011-07-28	M	HOR	mongold	72	NA	2011	outplant	NS-OP_11_0102	above
2011-07-28	M	HOR	mongold	79	NA	2011	outplant	NS-OP_11_0103	above
2011-07-28	M	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0104	above
2011-07-28	M	HOR	mongold	84	head wound	2011	outplant	NS-OP_11_0105	above
2011-07-28	M	HOR	mongold	75	NA	2011	outplant	NS-OP_11_0109	above
2011-07-28	M	HOR	mongold	75	head wound	2011	outplant	NS-OP_11_0110	above
2011-07-28	M	HOR	mongold	74	nose wound	2011	outplant	NS-OP_11_0111	above
2011-07-28	M	HOR	mongold	83	head wound	2011	outplant	NS-OP_11_0113	above
2011-08-10	M	HOR	mongold	83	NA	2011	outplant	NS-OP_11_0116	above
2011-08-10	M	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0118	above
2011-08-10	M	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0120	above
2011-08-10	M	HOR	mongold	85	NA	2011	outplant	NS-OP_11_0122	above
2011-08-10	M	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0123	above
2011-08-10	M	HOR	mongold	91	NA	2011	outplant	NS-OP_11_0127	above
2011-08-10	M	HOR	mongold	87	NA	2011	outplant	NS-OP_11_0130	above
2011-08-10	M	HOR	mongold	76	NA	2011	outplant	NS-OP_11_0135	above
2011-08-10	M	HOR	mongold	76	NA	2011	outplant	NS-OP_11_0136	above
2011-08-10	M	HOR	mongold	73	NA	2011	outplant	NS-OP_11_0137	above
2011-08-10	M	HOR	mongold	81	NA	2011	outplant	NS-OP_11_0141	above
2011-08-10	M	HOR	mongold	87	NA	2011	outplant	NS-OP_11_0144	above
2011-08-10	M	HOR	mongold	74	NA	2011	outplant	NS-OP_11_0145	above
2011-08-10	M	HOR	mongold	70	NA	2011	outplant	NS-OP_11_0146	above
2011-08-10	M	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0147	above
2011-08-10	M	HOR	mongold	85	NA	2011	outplant	NS-OP_11_0148	above
2011-08-10	M	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0151	above
2011-08-03	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0113	below
2011-08-03	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0114	below
2011-08-03	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0115	below
2011-08-18	F	NOR	stayton to shelburn	NA	NA	2011	carcass	NSant_11_SS_0120	below
2011-08-18	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0122	below
2011-08-30	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0123	below
2011-08-30	F	NOR	mehama to powerlines	NA	NA	2011	carcass	NSant_11_SS_0148	below
2011-08-23	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0153	below
2011-08-09	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0174	below
2011-08-23	F	NOR	powerlines to upper bennett	NA	NA	2011	carcass	NSant_11_SS_0178	below
2011-08-23	F	NOR	south channel-upper bennet to stayton	NA	NA	2011	carcass	NSant_11_SS_0182	below
2011-09-20	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0196	below
2011-10-03	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0261	below
2011-10-03	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0263	below
2011-10-03	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0267	below
2011-10-03	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0272	below
2011-10-03	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0275	below
2011-10-03	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0278	below
2011-10-03	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0281	below
2011-10-03	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0286	below
2011-10-03	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0289	below
2011-10-03	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0290	below
2011-09-13	F	NOR	stayton to shelburn	NA	NA	2011	carcass	NSant_11_SS_0606	below
2011-09-13	F	NOR	stayton to shelburn	NA	NA	2011	carcass	NSant_11_SS_0608	below
2011-09-07	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0610	below
2011-09-20	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0617	below
2011-09-07	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0635	below
2011-09-07	F	NOR	mehama to powerlines	NA	NA	2011	carcass	NSant_11_SS_0641	below
2011-09-20	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0644	below
2011-09-20	F	NOR	north channel-stayton is to stayton	NA	NA	2011	carcass	NSant_11_SS_0649	below
2011-10-03	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0651	below
NA	F	NOR	NA	NA	NA	2011	carcass	NSant_11_SS_0653	below
2011-09-27	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0660	below
2011-09-27	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0666	below
2011-10-03	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0694	below
2011-10-03	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0710	below
2011-10-03	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0719	below
2011-10-03	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0729	below
2011-09-27	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0739	below
2011-09-27	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0744	below
2011-10-03	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0756	below
2011-10-03	F	NOR	camp cascade to narrows	NA	NA	2011	carcass	NSant_11_SS_0773	below
2011-09-13	F	NOR	minto dam to packsaddle	NA	NA	2011	carcass	NSant_11_SS_0126	below
2011-08-18	F	NOR	south channel-upper bennet to stayton	NA	NA	2011	carcass	NSant_11_SS_0127	below
2011-09-13	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0128	below
2011-08-23	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0133	below
2011-08-23	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0137	below
2011-08-23	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0138	below
2011-08-03	F	NOR	stayton to shelburn	NA	NA	2011	carcass	NSant_11_SS_0142	below
2011-09-13	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0144	below
2011-09-13	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0145	below
2011-09-13	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0146	below
2011-09-13	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0147	below
2011-08-30	F	NOR	south channel-upper bennet to stayton	NA	NA	2011	carcass	NSant_11_SS_0149	below
2011-09-13	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0150	below
2011-08-09	F	NOR	stayton to shelburn	NA	NA	2011	carcass	NSant_11_SS_0158	below
2011-08-18	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0160	below
2011-09-20	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0162	below
2011-08-23	F	NOR	mehama to powerlines	NA	NA	2011	carcass	NSant_11_SS_0166	below
2011-08-30	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0167	below
2011-08-30	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0168	below
2011-09-20	F	NOR	minto dam to packsaddle	NA	NA	2011	carcass	NSant_11_SS_0169	below
2011-09-20	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0170	below
2011-08-09	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0176	below
2011-08-30	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0183	below
2011-08-18	F	NOR	mehama to powerlines	NA	NA	2011	carcass	NSant_11_SS_0191	below
2011-08-18	F	NOR	powerlines to upper bennett	NA	NA	2011	carcass	NSant_11_SS_0192	below
2011-09-20	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0195	below
2011-09-20	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0197	below
2011-10-03	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0270	below
2011-10-03	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0276	below
2011-10-03	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0283	below
2011-10-03	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0295	below
2011-09-20	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0601	below
2011-09-20	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0603	below
2011-09-20	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0613	below
2011-09-30	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0620	below
2011-09-07	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0621	below
2011-09-07	F	NOR	stayton to shelburn	NA	NA	2011	carcass	NSant_11_SS_0624	below
2011-09-07	F	NOR	stayton to shelburn	NA	NA	2011	carcass	NSant_11_SS_0626	below
2011-09-20	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0631	below
2011-09-07	F	NOR	minto dam to packsaddle	NA	NA	2011	carcass	NSant_11_SS_0633	below
2011-09-07	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0634	below
2011-09-27	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0647	below
2011-09-27	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0668	below
2011-10-03	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0677	below
2011-09-27	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0680	below
2011-09-27	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0682	below
2011-09-27	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0685	below
2011-10-03	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0689	below
2011-09-27	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0704	below
2011-09-27	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0711	below
2011-09-27	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0712	below
2011-09-27	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0714	below
2011-10-03	F	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0720	below
2011-09-27	F	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0721	below
2011-09-27	F	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0741	below
2011-09-27	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0746	below
2011-09-27	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0752	below
2011-10-03	F	NOR	camp cascade to narrows	NA	NA	2011	carcass	NSant_11_SS_0761	below
2011-09-13	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0766	below
2011-10-03	F	NOR	camp cascade to narrows	NA	NA	2011	carcass	NSant_11_SS_0769	below
2011-09-13	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0772	below
2011-09-13	F	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0774	below
2011-08-18	M	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0121	below
2011-08-23	M	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0139	below
2011-09-13	M	NOR	north channel-stayton is to stayton	NA	NA	2011	carcass	NSant_11_SS_0172	below
2011-10-03	M	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0268	below
2011-10-03	M	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0287	below
2011-09-13	M	NOR	stayton to shelburn	NA	NA	2011	carcass	NSant_11_SS_0607	below
2011-09-20	M	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0618	below
2011-09-27	M	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0655	below
NA	M	NOR	NA	NA	NA	2011	carcass	NSant_11_SS_0663	below
2011-09-27	M	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0665	below
2011-09-27	M	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0670	below
2011-09-27	M	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0671	below
2011-10-03	M	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0673	below
NA	M	NOR	NA	NA	NA	2011	carcass	NSant_11_SS_0679	below
2011-09-27	M	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0692	below
2011-10-03	M	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0706	below
2011-09-27	M	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0732	below
2011-10-03	M	NOR	golf bridge to bear creek bridge	NA	NA	2011	carcass	NSant_11_SS_0778	below
NA	M	NOR	NA	NA	NA	2011	carcass	NSant_11_SS_0783	below
2011-10-03	M	NOR	narrows to golf bridge	NA	NA	2011	carcass	NSant_11_SS_0837	below
2011-10-03	M	NOR	narrows to golf bridge	NA	NA	2011	carcass	NSant_11_SS_0838	below
2011-10-03	M	NOR	camp cascade to narrows	NA	NA	2011	carcass	NSant_11_SS_0839	below
2011-08-30	M	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0125	below
2011-08-03	M	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0129	below
2011-08-09	M	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0130	below
2011-08-09	M	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0131	below
2011-08-23	M	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0136	below
2011-09-20	M	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0151	below
2011-08-18	M	NOR	mill city to fisherman's bend	NA	NA	2011	carcass	NSant_11_SS_0154	below
2011-08-09	M	NOR	south channel-upper bennet to stayton	NA	NA	2011	carcass	NSant_11_SS_0155	below
2011-08-09	M	NOR	south channel-upper bennet to stayton	NA	NA	2011	carcass	NSant_11_SS_0156	below
2011-08-09	M	NOR	stayton to shelburn	NA	NA	2011	carcass	NSant_11_SS_0157	below
2011-09-20	M	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0161	below
2011-09-20	M	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0171	below
2011-08-09	M	NOR	minto dam to packsaddle	NA	NA	2011	carcass	NSant_11_SS_0173	below
2011-08-09	M	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0175	below
2011-08-23	M	NOR	powerlines to upper bennett	NA	NA	2011	carcass	NSant_11_SS_0177	below
2011-08-23	M	NOR	south channel-upper bennet to stayton	NA	NA	2011	carcass	NSant_11_SS_0179	below
2011-09-20	M	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0186	below
2011-08-23	M	NOR	stayton to shelburn	NA	NA	2011	carcass	NSant_11_SS_0188	below
2011-09-20	M	NOR	fisherman's bend to mehama	NA	NA	2011	carcass	NSant_11_SS_0190	below
2011-09-20	M	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0198	below
2011-09-20	M	NOR	gate's bridge to mill city	NA	NA	2011	carcass	NSant_11_SS_0199	below
2011-09-20	M	NOR	packsaddle to gate's bridge	NA	NA	2011	carcass	NSant_11_SS_0200	below
